#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
STAR,0.0003417107,1237648722280972864,19.29711,19.59627,19.27659,19.3318,1.090759,0.5530654,1.17606,-0.2414073,-0.1693677,-0.1683403,-0.2090222,-0.06342889,2.359612,6,6
STAR,-4.821734E-06,1237648722291720221,16.33632,16.6238,16.34619,16.39145,1.129431,0.5854598,1.243809,-17.9929,-19.35869,-19.49389,-0.1557491,-0.04492609,2.686447,6,6
STAR,0.0005733516,1237648722291720267,17.64158,17.9552,17.64391,17.69308,1.137529,0.5910993,1.254012,-0.3506854,-0.3058638,-0.3067541,-0.1798618,-0.0762339,2.802629,6,6
STAR,-0.0002552525,1237648721232855096,17.67834,17.99814,17.66619,17.71436,1.170037,0.5983629,1.32684,-5.16883,-4.000093,-3.986705,-0.08138514,-0.03808356,2.691292,6,6
STAR,0.0005728459,1237648720693887127,18.55581,18.88199,18.55046,18.60069,1.214025,0.618399,1.345349,-0.2964176,-0.08602216,-0.08612175,-0.07654581,-0.07062398,2.92892,6,6
STAR,-8.641174E-05,1237648720694083589,14.8758,15.20193,14.8808,14.92429,1.167835,0.6027912,1.319445,-185.8827,-190.5413,-191.2832,-0.05705208,-0.04938573,2.758126,6,6
STAR,7.596036E-05,1237648704588152851,14.94026,15.27309,14.94793,15.00271,1.082807,0.5589421,1.226576,-218.2196,-220.6786,-222.0772,0.0003315554,0.003280267,2.256648,6,6
STAR,-0.000253689,1237648721233707039,17.08506,17.42251,17.08657,17.13653,1.25101,0.638593,1.400843,-5.529713,-4.512484,-4.497087,-0.1518235,-0.08356012,3.152227,6,6
STAR,0.000590869,1237648721233903754,19.61037,19.93921,19.60557,19.6548,1.191606,0.6156518,1.373215,-0.01407031,-0.02444018,-0.02445493,-0.1188447,-0.06925849,2.892946,6,6
STAR,0.0002164866,1237648721743184157,16.58463,16.89474,16.57255,16.6249,1.090549,0.5619252,1.23623,-8.684914,-5.328911,-5.298938,-0.09483402,-0.02176885,2.328693,6,6
