#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
GALAXY,0.03169439,1237655348895416654,19.08124,18.94252,17.58867,17.4941,5.041442,2.354129,6.107922,-6542.162,-68.06078,-203.5438,-0.4764076,0.2674095,32.36826,3,3
GALAXY,0.04628231,1237654670273216706,18.34007,18.30817,17.65,17.59825,2.433501,1.166961,2.822183,-3777.844,-65.86975,-95.00495,-0.0752133,-0.1383685,8.889571,3,3
GALAXY,0.004201716,1237655107837886489,18.95329,18.78837,16.46669,16.38319,10.20868,4.60834,11.37509,-18141.31,-232.2709,-1410.493,0.4674034,-0.4404093,117.2043,3,3
GALAXY,0.03242989,1237655348895416675,19.2106,19.03801,17.41703,17.34118,6.028485,2.809925,6.760651,-7442.037,-107.1492,-327.5935,0.07904235,-0.03257811,40.8424,3,3
GALAXY,0.03254427,1237655108370038880,17.83002,17.67697,16.26882,16.22955,5.251712,2.327768,5.7327,-27797.02,-645.0091,-2226.735,-0.3913279,0.112941,31.59251,3,3
GALAXY,0.03203117,1237655349431632216,19.59081,19.25942,17.21269,17.23566,7.638259,3.474148,6.868569,-7735.254,-155.53,-718.4857,0.1748689,0.09427346,81.74171,3,3
GALAXY,0.04638653,1237654874824769679,18.14428,18.28701,16.57227,16.59071,5.863435,2.818914,5.983013,-18417.69,-131.4504,-1709.63,0.05602174,-0.005465561,53.2468,3,3
GALAXY,0.03194296,1237655349432353158,20.19952,19.79773,17.56205,17.60739,6.680459,3.417309,7.159695,-4656.45,-36.65833,-651.853,0.1532715,0.3623542,96.41769,3,3
GALAXY,0.04606505,1237655349963456639,18.12869,18.28798,17.17879,17.28421,3.573528,1.675884,4.598814,-5716.47,-290.3794,-32.74739,0.04039994,0.4681743,16.52394,3,3
GALAXY,0.0463303,1237654601023553697,18.46375,18.44662,16.64435,16.90943,5.913631,2.640702,6.443012,-11609.76,-744.1074,-362.456,-0.01113098,-0.03361667,27.06761,3,3
GALAXY,0.0460623,1237655349963587759,17.80486,17.8341,16.09322,16.07965,6.330231,2.894751,6.856802,-31493.11,-321.5103,-2586.417,0.2513537,-0.04319117,49.54522,3,3
GALAXY,0.004262534,1237655368747319371,19.23877,19.16419,15.97589,16.02476,17.47369,7.785552,17.18452,-19611.35,-497.2775,-1867.974,-0.08362509,-0.8238802,605.7445,3,3
GALAXY,0.04637161,1237655108904550466,17.41469,17.4526,15.63769,15.80763,7.588431,3.31103,9.510715,-32712.47,-5924.729,-1202.718,0.1878702,0.2072978,19.34185,3,3
